Company Name,Ticker,Market Cap (mil),Optionable,Div. Yield %,Next EPS Report Date  (yyyymmdd)
"Cohen & Steers","CNS","2598.97","YES","4.31","20240124"
"CNX Resources","CNX","3470.94","YES","0","20240125"
"Concentrix","CNXC","5022.4","YES","1.6","20240118"
"Capital One Financial","COF","38247.13","YES","2.39","20240123"
"COHERENT CORP","COHR","4414.16","YES","0","20231106"
"Coinbase Global","COIN","18454.68","YES","0","20231102"
"Columbia Banking System","COLB","4094.25","YES","7.34","20240123"
"Americold Realty Trust","COLD","7242.83","YES","3.28","20231102"
"Columbia Sportswear","COLM","4537.21","YES","1.62","20240201"
"The Cooper Companies","COO","15695.19","YES",".02","20231214"
"Mr. Cooper Group","COOP","3803.44","YES","0","20240209"
"ConocoPhillips","COP","139711.23","YES","1.75","20231102"
"Cencora, Inc.","COR","37853.2","YES","1.04","20231102"
"Corcept Therapeutics","CORT","2880.53","YES","0","20240227"
"Costco Wholesale","COST","246517.94","YES",".73","20231214"
"Coty","COTY","7948.15","YES","0","20231107"
"Coursera","COUR","2668.99","YES","0","20240208"
"Canadian Pacific Kansas City Limited","CP","66772.13","YES",".78","20240130"
"Copa Holdings","CPA","3228.95","YES","4","20231115"
"Campbell Soup","CPB","12104.28","YES","3.64","20231206"
"Callon Petroleum","CPE","2508.19","YES","0","20240228"
"Crescent Point Energy","CPG","4259.88","YES","3.66","20231102"
"Coupang","CPNG","28183.15","YES","0","20231107"
"Capri Holdings","CPRI","5876.47","YES","0","20231109"
"Copart","CPRT","42075.24","YES","0","20231115"
"Camden Property Trust","CPT","9041.39","YES","4.72","20240201"
"Cheniere Energy Partners","CQP","27522.29","YES","5.45","20231102"
"Crane Company","CR","5547.32","YES",".74","20240122"
"Corebridge Financial, Inc.","CRBG","13336.02","YES","4.39","20231103"
"California Resources","CRC","3606.03","YES","2.16","20240223"
"Credo Technology Group","CRDO","2164.63","YES","0","20231129"
"Crescent Energy Company","CRGY","2017.44","YES","3.97","20231106"
"Carter's","CRI","2447.38","YES","4.51","20240223"
"Comstock Resources","CRK","3525.56","YES","3.95","20240213"
"Charles River Laboratories International","CRL","8588.98","YES","0","20231108"
"Salesforce","CRM","198404.44","YES","0","20231129"
"Crocs","CROX","5388.33","YES","0","20231102"
"Carpenter Technology","CRS","3180.26","YES","1.24","20240125"
"CRISPR Therapeutics","CRSP","3474.25","YES","0","20231107"
